id,museum,name,inventory,size,details,era,technique,category,image_url,author,number_of_volume,engraved_or_handcopied
6944,上海博物馆,青釉高足碗,,,,清,,瓷器,,,,
6945,上海博物馆,景德镇窑三彩八仙图碗,,,,清,,瓷器,,,,
6946,上海博物馆,钧窑瓶座,,,,元,,瓷器,,,,
6947,上海博物馆,白釉弦纹炉,,,,唐,,瓷器,,,,
6948,上海博物馆,石湾窑瓶,,,,明,,瓷器,,,,
6949,上海博物馆,白釉罐,,,,明,,瓷器,,,,
6950,上海博物馆,陶文,,,,西汉,,陶器,,,,
6951,上海博物馆,陶文,,,,战国,,陶器,,,,
6952,上海博物馆,平肩弧足空首布,,,,战国,,货币,,,,
6953,上海博物馆,戈,,,,战国,,铜器,,,,
6954,上海博物馆,镜,,,,唐,,铜器,,,,
6955,上海博物馆,中道震 漆园画石,,,,清,,玺印篆刻,,,,
6956,上海博物馆,壶,,,,商,,铜器,,,,
6957,上海博物馆,至元□□,,,,元,,货币,,,,
6958,上海博物馆,齐大刀,,,,战国,,货币,,,,
6959,上海博物馆,方足布,,,,战国,,货币,,,,
6960,上海博物馆,“向”方足布,,,,战国,,货币,,,,
6961,上海博物馆,尖足布,,,,战国,,货币,,,,
6962,上海博物馆,圆肩方足布,,,,战国,,货币,,,,
6963,上海博物馆,“賹六刀”圆钱,,,,战国,,货币,,,,
6964,上海博物馆,平肩弧足空首布,,,,春秋,,货币,,,,
6965,上海博物馆,尖首刀,,,,战国,,货币,,,,
6966,上海博物馆,“四朱”砝码,,,,南北朝,,货币,,,,
6967,上海博物馆,蚁鼻钱,,,,战国,,货币,,,,
6968,上海博物馆,有孔连布,,,,战国,,货币,,,,
6969,上海博物馆,有孔长布,,,,战国,,货币,,,,
6970,上海博物馆,平肩孤足空首布,,,,春秋,,货币,,,,
6971,上海博物馆,耸肩尖足空首布,,,,春秋,,货币,,,,
6972,上海博物馆,治平元宝,,,,宋,,货币,,,,
6973,上海博物馆,权,,,,元,,铜器,,,,
6974,上海博物馆,镜,,,,宋,,铜器,,,,
6975,上海博物馆,官司□玺,,,,战国,,玺印篆刻,,,,
6976,上海博物馆,史诱之印·史翁叔印 两面印,,,,汉,,玺印篆刻,,,,
6977,上海博物馆,鼎,,,,春秋,,铜器,,,,
6978,上海博物馆,佛铜像,,,,南北朝,,铜器,,,,
6979,上海博物馆,天尊残石像,,,,唐,,刻石,,,,
6980,上海博物馆,镜,,,,南北朝,,铜器,,,,
6981,上海博物馆,镜,,,,三国,,铜器,,,,
6982,上海博物馆,局廉花卉图轴,,,,清,,绘画,,,,
